tpep_production_datetime,latitude,longitude
2015-03-18T09:00:00.000,40.578270, -73.844762
2014-03-17T07:00:00.000,40.727790, -73.947605
2016-12-01T06:00:00.000,40.759260, -73.989860
2016-12-01T06:00:00.000,40.693682, -73.989693
2016-12-01T07:00:00.000,40.731829, -73.989181
2013-02-25T07:00:00.000,40.616695, -74.013047
2012-04-10T08:00:00.000,40.739065, -73.982255
2015-04-28T16:00:00.000,40.775921, -73.982607
2016-06-14T06:00:00.000,40.643468, -73.976046
2015-07-27T06:00:00.000,40.701954, -73.942358
2013-08-02T06:00:00.000,40.750633, -73.997177
2016-07-06T11:00:00.000,40.688630, -74.018244
2015-09-14T14:00:00.000,40.758236, -73.978833
2013-08-06T07:30:00.000,40.727790, -73.947605
2012-12-03T07:00:00.000,40.747155, -73.939750
2014-09-30T06:00:00.000,40.727790, -73.947605
2016-06-16T00:01:00.000,40.765823, -73.987169
2016-12-01T06:00:00.000,40.694696, -73.966286
2012-02-13T19:00:00.000,40.775921, -73.982607
2016-12-01T06:00:00.000,40.811407, -73.953060
2013-08-16T15:00:00.000,40.715775, -73.986212
2012-12-13T06:00:00.000,40.802381, -73.952681
2015-10-29T08:00:00.000,40.747155, -73.939750
2015-09-09T07:00:00.000,40.750633, -73.997177
2015-11-14T06:00:00.000,40.811407, -73.953060
2015-11-03T00:01:00.000,40.734012, -74.006746
2016-06-09T03:00:00.000,40.759260, -73.989860
2015-10-11T09:00:00.000,40.791763, -73.943970
2013-06-13T06:00:00.000,40.752360, -73.972493
2014-10-22T07:00:00.000,40.662688, -73.986740
2016-07-01T00:01:00.000,40.750633, -73.997177
2014-08-26T06:00:00.000,40.713848, -74.007755
2016-04-15T14:00:00.000,40.679171, -73.963804
2013-10-21T06:00:00.000,40.715775, -73.986212
2016-04-11T07:00:00.000,40.682306, -73.978099
2014-10-21T06:00:00.000,40.693682, -73.989693
2015-10-14T10:00:00.000,40.643468, -73.976046
2012-01-09T06:00:00.000,40.867787, -73.799920
2013-03-22T15:00:00.000,40.747155, -73.939750
2012-06-29T07:00:00.000,40.731829, -73.989181
2016-12-01T07:00:00.000,40.810549, -73.884367
2016-12-01T08:30:00.000,40.704160, -73.921139
2016-12-01T07:00:00.000,40.632648, -74.116148
2013-11-14T10:00:00.000,40.726399, -73.978631
2016-12-01T07:00:00.000,40.750633, -73.997177
2015-08-28T11:00:00.000,40.700671, -73.889433
2016-02-25T00:01:00.000,40.750633, -73.997177
2014-03-19T06:00:00.000,40.677916, -74.005154
2016-03-21T06:00:00.000,40.776441, -73.953509
2014-03-13T10:00:00.000,40.747155, -73.939750
2013-11-20T17:00:00.000,40.750633, -73.997177
2016-12-01T07:00:00.000,40.727790, -73.947605
2016-12-01T05:30:00.000,40.759260, -73.989860
2016-12-01T07:00:00.000,40.805489, -73.916585
2015-04-09T06:00:00.000,40.727790, -73.947605
2014-01-31T02:30:00.000,40.765823, -73.987169
2014-08-18T07:00:00.000,40.747155, -73.939750
2016-12-01T06:00:00.000,40.693682, -73.989693
2016-05-13T07:00:00.000,40.759260, -73.989860
2012-06-21T11:00:00.000,40.693682, -73.989693
2014-11-14T14:00:00.000,40.727790, -73.947605
2015-08-04T01:00:00.000,40.758236, -73.978833
2015-02-03T06:00:00.000,40.755319, -73.993114
2013-02-05T00:01:00.000,40.720103, -74.004903
2016-12-01T07:00:00.000,40.727790, -73.947605
2013-03-21T07:00:00.000,40.762574, -73.913447
2012-03-28T06:30:00.000,40.742039, -74.000620
2015-06-03T06:00:00.000,40.747155, -73.939750
2014-01-27T07:00:00.000,40.747155, -73.939750
2014-10-30T10:00:00.000,40.731829, -73.989181
2014-05-12T07:00:00.000,40.750633, -73.997177
2016-06-01T11:00:00.000,40.682306, -73.978099
2013-01-10T09:00:00.000,40.727790, -73.947605
2016-12-01T00:01:00.000,40.677916, -74.005154
2016-01-26T09:00:00.000,40.739065, -73.982255
2016-05-26T07:00:00.000,40.798452, -73.974428
2013-10-21T11:00:00.000,40.693682, -73.989693
2014-11-25T07:00:00.000,40.747155, -73.939750
2016-12-01T05:00:00.000,40.759260, -73.989860
2013-02-19T06:00:00.000,40.662688, -73.986740
2013-04-02T07:00:00.000,40.775921, -73.982607
2015-06-23T07:00:00.000,40.727790, -73.947605
2013-01-29T06:00:00.000,40.693682, -73.989693
2015-06-01T00:01:00.000,40.750633, -73.997177
2015-05-28T06:00:00.000,40.727790, -73.947605
2016-12-01T06:00:00.000,40.765823, -73.987169
2015-11-08T07:00:00.000,40.682306, -73.978099
2014-03-05T06:00:00.000,40.694696, -73.966286
2013-10-03T07:00:00.000,40.677916, -74.005154
2015-07-07T12:30:00.000,40.715775, -73.986212
2015-08-12T07:00:00.000,40.700671, -73.889433
2012-03-19T05:00:00.000,40.677916, -74.005154
2016-12-01T07:00:00.000,40.720103, -74.004903
2013-07-01T06:00:00.000,40.847381, -73.840584
2016-05-11T08:00:00.000,40.725581, -73.998078
2013-06-16T11:00:00.000,40.750633, -73.997177
2014-06-14T19:00:00.000,40.747155, -73.939750
2015-02-26T10:00:00.000,40.720103, -74.004903
2013-07-09T07:00:00.000,40.791763, -73.943970
2016-11-30T18:00:00.000,40.731829, -73.989181
2012-08-27T06:30:00.000,40.750633, -73.997177
2015-02-11T08:00:00.000,40.758628, -73.967948
